# P1_set	chan_1	chan_2
# "P1"	"chan 1"	"chan 2"
# 200
-25	0.235622355724722	2.73912955639902
-24.748743718593	1.03216141555953	2.92634514329478
-24.4974874371859	1.32181530705842	2.72185052886166
-24.2462311557789	1.29231905199033	2.76018238059368
-23.9949748743719	1.00674764150713	3.87964313510582
-23.7437185929648	1.95343204750184	4.11802170645328
-23.4924623115578	1.5120318399185	3.62324710294503
-23.2412060301508	2.28898734462481	4.41462350647152
-22.9899497487437	2.07056111176213	4.12209039931285
-22.7386934673367	3.09702962021104	4.70084496734295
-22.4874371859297	2.71262576834923	5.07434844230794
-22.2361809045226	3.59189936019003	5.40240787757656
-21.9849246231156	3.05717134126319	6.00960502368469
-21.7336683417085	3.72612606881056	5.43449612579973
-21.4824120603015	3.8628859723626	6.24640404276341
-21.2311557788945	4.50984768301152	6.6507003564274
-20.9798994974874	4.17831827001882	6.05260300508679
-20.7286432160804	4.31101666631709	6.32059274527893
-20.4773869346734	4.89673928029765	7.02777756829554
-20.2261306532663	5.653246550221	6.94140277735431
-19.9748743718593	5.91500328760002	7.70947606605922
-19.7236180904523	5.64059167506972	7.86509943982874
-19.4723618090452	6.01607214515931	7.87592440412341
-19.2211055276382	5.96533878694474	8.11980400093192
-18.9698492462312	6.3690812986087	8.58658484391038
-18.7185929648241	7.02417324232581	8.67935515409657
-18.4673366834171	7.47540868842481	8.95007051734243
-18.21608040201	7.19583334874366	9.25884950673414
-17.964824120603	7.26158173979656	9.96729209366862
-17.713567839196	8.14589878872183	9.31926781644301
-17.4623115577889	8.28227554120663	10.346480930582
-17.2110552763819	8.57545111158195	10.5602671800561
-16.9597989949749	8.23248016168739	10.0594675740717
-16.7085427135678	8.5686276522937	10.7732058762903
-16.4572864321608	8.57101222747644	11.0297717022469
-16.2060301507538	9.26423371023785	11.7477744751876
-15.9547738693467	9.32318089096708	11.4102204627843
-15.7035175879397	9.97983759008977	11.952455670939
-15.4522613065327	9.87202817232018	12.4170779018829
-15.2010050251256	10.2153984359503	11.8898879941668
